,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location,duration,count_row,geometry,index_right,precinct,shape_area,shape_leng,year,day
1977187,31509672,2015-09-11 16:22:02,2015-09-12 03:41:17,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11219.0,,,,,OVINGTON AVENUE,15 AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,2015-09-12T00:22:02.000,The Police Department responded to the complaint and determined that police action was not necessary.,2015-09-12T03:40:47.000,11 BROOKLYN,,BROOKLYN,984541.0,165728.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.621561546816096,-73.99895175577919,"
,  
(40.621561546816096, -73.99895175577919)",0 days 11:19:15,1,POINT (-73.99895175577919 40.621561546816096),36.0,62,103226477.176,51711.9569778,2015,11
1690855,38625039,2018-03-06 19:15:56,2018-03-06 19:34:33,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204.0,6622 CAMERON COURT,CAMERON COURT,66 STREET,67 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,2018-03-07T03:15:56.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2018-03-06T19:34:33.000,11 BROOKLYN,3055590095.0,BROOKLYN,985756.0,165310.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.620414100729846,-73.99457515924658,"
,  
(40.620414100729846, -73.99457515924658)",0 days 00:18:37,1,POINT (-73.99457515924658 40.620414100729846),36.0,62,103226477.176,51711.9569778,2018,6
1049627,51523350,2021-08-13 12:31:31,2021-08-13 15:32:26,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10453.0,2155 GRAND AVENUE,GRAND AVENUE,WEST  181 STREET,CLINTON PLACE,WEST  181 STREET,CLINTON PLACE,,BRONX,GRAND AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-08-13T15:32:30.000,05 BRONX,2032070023.0,BRONX,1009924.0,251375.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85660382453727,-73.90718991850827,"
,  
(40.85660382453727, -73.90718991850827)",0 days 03:00:55,1,POINT (-73.90718991850827 40.85660382453727),28.0,46,38333420.8163,29392.7128418,2021,13
1973050,31628340,2015-09-27 19:07:56,2015-09-27 22:38:37,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10029.0,3 AVENUE,3 AVENUE,EAST 96 STREET,EAST 97 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,2015-09-28T03:07:56.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2015-09-27T22:38:09.000,11 MANHATTAN,,MANHATTAN,998351.0,225473.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.78553623590017,-73.94908008550355,"
,  
(40.78553623590017, -73.94908008550355)",0 days 03:30:41,1,POINT (-73.94908008550355 40.78553623590017),13.0,23,21466676.4013,19427.8845417,2015,27
2140497,23061970,2012-04-15 12:07:59,2012-04-15 12:32:16,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10031.0,1580 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 138 STREET,WEST 139 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,2012-04-15T20:07:59.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2012-04-15T12:31:27.000,09 MANHATTAN,1020700029.0,MANHATTAN,997903.0,238415.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.82105917061735,-73.9506715337886,"
,  
(40.821059170617346, -73.9506715337886)",0 days 00:24:17,1,POINT (-73.9506715337886 40.82105917061735),18.0,30,18846950.4113,21643.8811448,2012,15
679798,55278818,2022-09-01 19:35:22,2022-09-01 20:24:11,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10451.0,750 GRAND CONCOURSE,GRAND CONCOURSE,EAST  153 STREET,EAST  156 STREET,EAST  153 STREET,EAST  156 STREET,ADDRESS,BRONX,GRAND CONCOURSE,,Closed,,The Police Department issued a summons in response to the complaint.,2022-09-01T20:24:15.000,04 BRONX,2024580026.0,BRONX,1005104.0,239088.0,MOBILE,Unspecified,BRONX,,,,,,,,40.822892299365904,-73.92465214640484,"
,  
(40.822892299365904, -73.92465214640484)",0 days 00:48:49,1,POINT (-73.92465214640484 40.822892299365904),26.0,44,55511794.0724,31464.1347868,2022,1
459433,57184512,2023-03-30 22:30:06,2023-03-31 00:18:48,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10024.0,38 WEST   91 STREET,WEST   91 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   91 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-03-31T00:18:51.000,07 MANHATTAN,1012040021.0,MANHATTAN,993039.0,226730.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.78899324326704,-73.9682605240039,"
,  
(40.788993243267036, -73.9682605240039)",0 days 01:48:42,1,POINT (-73.9682605240039 40.78899324326704),14.0,24,25478124.0678,20707.0069544,2023,30
2151526,21778840,2011-10-31 08:00:44,2011-10-31 09:46:03,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468.0,,,,,WEST FORDHAM ROAD,CEDAR AVENUE,INTERSECTION,BRONX,,Precinct,Closed,2011-10-31T16:00:44.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2011-10-31T09:46:03.000,07 BRONX,,BRONX,1008643.0,253242.0,PHONE,Unspecified,BRONX,,,,,,,,40.86173180856398,-73.91181386455017,"
,  
(40.86173180856398, -73.91181386455017)",0 days 01:45:19,1,POINT (-73.91181386455017 40.86173180856398),33.0,52,80713476.4066,65959.2856034,2011,31
2081607,27165800,2014-01-16 10:05:33,2014-01-16 13:37:42,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11236.0,730 EAST 87 STREET,EAST 87 STREET,GLENWOOD ROAD,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,2014-01-16T18:05:33.000,The Police Department responded to the complaint and determined that police action was not necessary.,2014-01-16T13:37:09.000,18 BROOKLYN,3080070016.0,BROOKLYN,1009390.0,172430.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63992144687508,-73.90941541155033,"
,  
(40.63992144687508, -73.90941541155033)",0 days 03:32:09,1,POINT (-73.90941541155033 40.63992144687508),41.0,69,106838731.966,116837.655799,2014,16
1805062,36029663,2017-04-25 10:19:21,2017-04-25 12:38:25,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11691.0,,,,,SEAGIRT AVENUE,BEACH    5 STREET,INTERSECTION,FAR ROCKAWAY,,Precinct,Closed,2017-04-25T18:19:21.000,The Police Department responded to the complaint and determined that police action was not necessary.,2017-04-25T12:38:25.000,14 QUEENS,,QUEENS,1056331.0,156510.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.59596691860462,-73.74044797326721,"
,  
(40.59596691860462, -73.74044797326721)",0 days 02:19:04,1,POINT (-73.74044797326721 40.59596691860462),58.0,101,86031982.576,80619.5972382,2017,25
