,precinct,count
0,104,123222
1,62,93027
2,114,78459
3,102,68283
4,68,67883
5,84,61285
6,108,59989
7,75,58699
8,66,56695
9,109,54939
10,50,54636
11,61,54035
12,70,49563
13,78,48852
14,115,43360
15,107,42641
16,106,42008
17,47,41175
18,72,39405
19,34,39389
20,45,39057
21,52,38608
22,43,36041
23,88,35758
24,63,35246
25,94,34732
26,110,34274
27,44,33989
28,49,33708
29,77,31054
30,1,30307
31,18,30164
32,19,30149
33,105,29118
34,67,27777
35,112,27179
36,76,26819
37,83,26327
38,60,26038
39,90,25964
40,111,25748
41,71,25012
42,79,24195
43,122,23813
44,46,23665
45,20,23341
46,103,22697
47,120,21534
48,121,20797
49,100,20397
50,123,20335
51,113,18761
52,33,18510
53,40,18416
54,28,17721
55,73,16278
56,5,16234
57,24,15938
58,7,15811
59,17,15452
60,32,15304
61,42,15157
62,9,15140
63,69,15110
64,81,15000
65,13,14985
66,10,14650
67,14,13699
68,30,13419
69,48,12519
70,25,11893
71,6,11365
72,41,11015
73,23,10099
74,26,9842
75,101,7486
76,22,1292
