,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location,duration,count_row,geometry,index_right,precinct,shape_area,shape_leng,year,day
665506,57534775,2023-05-07 20:19:46,2023-05-07 22:11:59,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10469.0,2925 YATES AVENUE,YATES AVENUE,ARNOW AVENUE,ADEE AVENUE,ARNOW AVENUE,ADEE AVENUE,ADDRESS,BRONX,YATES AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-05-07T22:12:05.000,11 BRONX,2045580052.0,BRONX,1024443.0,255636.0,ONLINE,Unspecified,BRONX,,,,,,,,40.868244806973394,-73.85467906673178,"
,  
(40.868244806973394, -73.85467906673178)",0 days 01:52:13,1,POINT (-73.85467906673178 40.868244806973394),31.0,49,105804534.545,45771.7759576,2023,7
958850,54960223,2022-07-30 15:08:20,2022-07-30 15:58:36,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11217.0,60 4 AVENUE,4 AVENUE,DEAN STREET,BERGEN STREET,DEAN STREET,BERGEN STREET,ADDRESS,BROOKLYN,4 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2022-07-30T15:58:40.000,02 BROOKLYN,3001980039.0,BROOKLYN,989965.0,188053.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.682836966526025,-73.97939443128602,"
,  
(40.682836966526025, -73.97939443128602)",0 days 00:50:16,1,POINT (-73.97939443128602 40.682836966526025),53.0,84,35466134.7102,38209.8942066,2022,30
1590921,46215750,2020-05-17 00:46:42,2020-05-17 01:17:58,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,11217.0,FLATBUSH AVENUE,FLATBUSH AVENUE,FLATBUSH AVENUE,LAFAYETTE AVENUE,FLATBUSH AVENUE,LAFAYETTE AVENUE,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020-05-17T01:18:01.000,02 BROOKLYN,,BROOKLYN,989973.0,189454.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68668238625891,-73.97936439713388,"
,  
(40.68668238625891, -73.97936439713388)",0 days 00:31:16,1,POINT (-73.97936439713388 40.68668238625891),53.0,84,35466134.7102,38209.8942066,2020,17
1698252,43846503,2019-09-10 10:55:24,2019-09-10 11:56:18,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11201.0,175 ADAMS STREET,ADAMS STREET,RED CROSS PLACE,TILLARY STREET,RED CROSS PLACE,TILLARY STREET,,BROOKLYN,ADAMS STREET,,Closed,,The Police Department issued a summons in response to the complaint.,2019-09-10T11:56:23.000,02 BROOKLYN,3000860011.0,BROOKLYN,987413.0,193953.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69903238612719,-73.98859295781712,"
,  
(40.69903238612719, -73.98859295781712)",0 days 01:00:54,1,POINT (-73.98859295781712 40.69903238612719),53.0,84,35466134.7102,38209.8942066,2019,10
2099776,34894878,2016-11-30 19:52:29,2016-11-30 22:00:53,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10460.0,1520 THIERIOT AVENUE,THIERIOT AVENUE,ARCHER STREET,GUERLAIN STREET,,,ADDRESS,BRONX,,Precinct,Closed,2016-12-01T03:52:29.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-11-30T22:00:53.000,09 BRONX,2039220043.0,BRONX,1021442.0,244753.0,MOBILE,Unspecified,BRONX,,,,,,,,40.83838739929994,-73.86558977559102,"
,  
(40.83838739929994, -73.86558977559102)",0 days 02:08:24,1,POINT (-73.86558977559102 40.83838739929994),25.0,43,113305028.086,62316.4682564,2016,30
540701,58593177,2023-08-22 18:45:18,2023-08-22 19:24:52,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220.0,245 60 STREET,60 STREET,2 AVENUE,GOWANUS EXPRESSWAY WB EXIT   22,2 AVENUE,GOWANUS EXPRESSWAY WB EXIT   22,ADDRESS,BROOKLYN,60 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,2023-08-22T19:24:58.000,07 BROOKLYN,3008610060.0,BROOKLYN,978209.0,173494.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64287551704973,-74.02176792496309,"
,  
(40.642875517049724, -74.02176792496309)",0 days 00:39:34,1,POINT (-74.02176792496309 40.64287551704973),44.0,72,104512376.182,89370.8460168,2023,22
443937,59405195,2023-11-12 11:28:30,2023-11-12 13:15:58,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040.0,600 WEST  189 STREET,WEST  189 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  189 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-11-12T13:16:03.000,12 MANHATTAN,1021680046.0,MANHATTAN,1003539.0,250559.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.854380407780965,-73.93027367488156,"
,  
(40.854380407780965, -73.93027367488156)",0 days 01:47:28,1,POINT (-73.93027367488156 40.854380407780965),21.0,34,52225487.412,44062.4075417,2023,12
421738,59603740,2023-11-30 17:10:09,2023-11-30 17:59:46,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11232.0,847 FIFTH AVENUE,FIFTH AVENUE,36 STREET,37 STREET,36 STREET,37 STREET,ADDRESS,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-11-30T17:59:51.000,07 BROOKLYN,3009030190.0,BROOKLYN,983599.0,177094.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.65275877417746,-74.00234613777445,"
,  
(40.65275877417746, -74.00234613777445)",0 days 00:49:37,1,POINT (-74.00234613777445 40.65275877417746),44.0,72,104512376.182,89370.8460168,2023,30
1373236,50558272,2021-05-15 01:06:32,2021-05-15 01:29:10,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11432.0,91-21 173 STREET,173 STREET,91 AVENUE,JAMAICA AVENUE,91 AVENUE,JAMAICA AVENUE,,JAMAICA,173 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2021-05-15T01:29:12.000,12 QUEENS,4098090051.0,QUEENS,1043270.0,197515.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.70861296117026,-73.78711949021253,"
,  
(40.70861296117026, -73.78711949021253)",0 days 00:22:38,1,POINT (-73.78711949021253 40.70861296117026),60.0,103,100910665.128,48580.2743229,2021,15
619569,57887290,2023-06-13 15:02:02,2023-06-13 16:02:38,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11215.0,251 12 STREET,12 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,12 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-06-13T16:02:42.000,06 BROOKLYN,3010220066.0,BROOKLYN,987302.0,182634.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.667964351170696,-73.98899839499144,"
,  
(40.667964351170696, -73.98899839499144)",0 days 01:00:36,1,POINT (-73.98899839499144 40.667964351170696),49.0,78,67785328.8867,40052.4520343,2023,13
